"Parameter","Value"
"B11_1",-0.0842980742454529
"B11_2",-0.240751221776009
"log_B12_delta_1",-0.785160183906555
"log_B12_delta_2",0.0224547069519758
"B21d_1",0.427699625492096
"B21d_2",0.285942018032074
"B22d_1",0.515158474445343
"B22d_2",0.24661111831665
"B31_1",0.00134513294324279
"B31_2",0.159615188837051
"B32_1",0.200483903288841
"B32_2",0.316964089870453
"Lmd1f1",0.922708094120026
"Lmd1f2",0.744700074195862
"Lmd1f3",1.0497955083847
"Lmd1f4",1.40714740753174
"Lmd2f_1",-1.31716156005859
"Lmd2f_2",2.19754457473755
"log_Qd_1",-1.52944147586823
"log_Qd_2",-1.57939291000366
"log_R1d_1",-1.30152642726898
"log_R1d_2",-0.871610224246979
"log_R1d_3",-0.432120859622955
"log_R1d_4",-1.34776222705841
"log_R1d_5",-1.40343356132507
"log_R1d_6",-0.790831446647644
"log_R2d_1",0.464100331068039
"log_R2d_2",0.0634259581565857
"log_R2d_3",2.18569016456604
"gamma1",3.60705590248108
"gamma2_1",0.568898797035217
"gamma2_2",-1.37124538421631
"gamma3",-0.529490768909454
"gamma4_1",-1.24117743968964
"gamma4_2",-0.613653182983398
"logit_tP_SB",-3.14807629585266
