"Parameter","Value"
"B11_1",-0.121964938938618
"B11_2",-0.097989059984684
"log_B12_delta_1",-0.646097004413605
"log_B12_delta_2",-0.225182741880417
"B21d_1",0.311377823352814
"B21d_2",0.227983012795448
"B22d_1",0.416966646909714
"B22d_2",0.352106392383575
"B31_1",-0.0373008660972118
"B31_2",0.163423776626587
"B32_1",0.0609324350953102
"B32_2",0.135195508599281
"Lmd1f1",0.901710331439972
"Lmd1f2",0.719145774841309
"Lmd1f3",1.10427045822144
"Lmd1f4",1.3301043510437
"Lmd2f_1",0.701270639896393
"Lmd2f_2",2.03374719619751
"log_Qd_1",-1.58823764324188
"log_Qd_2",-1.33443903923035
"log_R1d_1",-1.30841279029846
"log_R1d_2",-0.769014656543732
"log_R1d_3",-0.520346820354462
"log_R1d_4",-1.18591165542603
"log_R1d_5",-1.3568127155304
"log_R1d_6",-0.75454443693161
"log_R2d_1",-1.13293147087097
"log_R2d_2",1.94307208061218
"log_R2d_3",1.01571094989777
"gamma1",3.40733504295349
"gamma2_1",1.14300107955933
"gamma2_2",-0.414287716150284
"gamma3",-1.1380786895752
"gamma4_1",-2.22100877761841
"gamma4_2",0.638954699039459
"logit_tP_SB",-1.98180556297302
