"Parameter","Value"
"B11_1",-0.0585450939834118
"B11_2",-0.125536113977432
"log_B12_delta_1",-0.742601871490479
"log_B12_delta_2",-0.181983932852745
"B21d_1",0.193040058016777
"B21d_2",0.223310887813568
"B22d_1",0.399692505598068
"B22d_2",0.288957387208939
"B31_1",-0.113858014345169
"B31_2",-0.355623215436935
"B32_1",-0.181558310985565
"B32_2",-0.296931535005569
"Lmd1f1",0.967922151088715
"Lmd1f2",0.75320428609848
"Lmd1f3",1.19768702983856
"Lmd1f4",1.45593166351318
"Lmd2f_1",3.69915151596069
"Lmd2f_2",-1.2118399143219
"log_Qd_1",-1.42138457298279
"log_Qd_2",-1.66913080215454
"log_R1d_1",-1.32985067367554
"log_R1d_2",-0.886084973812103
"log_R1d_3",-0.562026619911194
"log_R1d_4",-1.13219356536865
"log_R1d_5",-1.39073312282562
"log_R1d_6",-0.842191219329834
"log_R2d_1",0.98194146156311
"log_R2d_2",0.166637286543846
"log_R2d_3",0.576531946659088
"gamma1",3.17589020729065
"gamma2_1",0.180122599005699
"gamma2_2",-0.0264550279825926
"gamma3",1.71119678020477
"gamma4_1",-3.41478419303894
"gamma4_2",-6.31518316268921
"logit_tP_SB",-3.77298998832703
