"Parameter","Value"
"B11_1",-0.0410337448120117
"B11_2",-0.168516173958778
"log_B12_delta_1",-1.17861187458038
"log_B12_delta_2",-0.629160046577454
"B21d_1",0.296350508928299
"B21d_2",0.255956709384918
"B22d_1",0.225652232766151
"B22d_2",0.488310188055038
"B31_1",-0.00522816553711891
"B31_2",0.28124812245369
"B32_1",0.555304527282715
"B32_2",0.584951400756836
"Lmd1f1",0.989294528961182
"Lmd1f2",0.687434494495392
"Lmd1f3",1.08950781822205
"Lmd1f4",1.41383409500122
"Lmd2f_1",-1.89805972576141
"Lmd2f_2",1.45194339752197
"log_Qd_1",-1.41146922111511
"log_Qd_2",-1.52443742752075
"log_R1d_1",-1.14253926277161
"log_R1d_2",-0.946047067642212
"log_R1d_3",-0.453590512275696
"log_R1d_4",-1.26117062568665
"log_R1d_5",-1.54022264480591
"log_R1d_6",-0.837137162685394
"log_R2d_1",0.218936800956726
"log_R2d_2",0.499976873397827
"log_R2d_3",3.3153178691864
"gamma1",3.40170073509216
"gamma2_1",-1.72711193561554
"gamma2_2",1.10085558891296
"gamma3",0.402302891016006
"gamma4_1",-4.15989446640015
"gamma4_2",-2.63589644432068
"logit_tP_SB",1.58846724033356
