"Parameter","Value"
"B11_1",-0.0183304976671934
"B11_2",-0.0766053348779678
"log_B12_delta_1",-0.77125471830368
"log_B12_delta_2",-0.0958201065659523
"B21d_1",0.332215934991837
"B21d_2",0.272842735052109
"B22d_1",0.395033806562424
"B22d_2",0.261756211519241
"B31_1",-0.0185643080621958
"B31_2",-0.239610403776169
"B32_1",-0.142274901270866
"B32_2",-0.15042333304882
"Lmd1f1",0.961495459079742
"Lmd1f2",0.972388744354248
"Lmd1f3",1.17415058612823
"Lmd1f4",1.57251787185669
"Lmd2f_1",2.3896586894989
"Lmd2f_2",2.4008641242981
"log_Qd_1",-1.64412975311279
"log_Qd_2",-1.65611159801483
"log_R1d_1",-1.02090096473694
"log_R1d_2",-0.784917116165161
"log_R1d_3",-0.451260358095169
"log_R1d_4",-1.24313926696777
"log_R1d_5",-1.42337882518768
"log_R1d_6",-0.842682301998138
"log_R2d_1",0.696758568286896
"log_R2d_2",-0.963341414928436
"log_R2d_3",1.76861417293549
"gamma1",3.23317050933838
"gamma2_1",0.734404385089874
"gamma2_2",0.92278778553009
"gamma3",0.713904201984406
"gamma4_1",1.88796401023865
"gamma4_2",-0.274999260902405
"logit_tP_SB",-2.4249370098114
