"Parameter","Value"
"B11_1",0.0843487754464149
"B11_2",0.0182571541517973
"log_B12_delta_1",-1.26624298095703
"log_B12_delta_2",0.0322296991944313
"B21d_1",0.311319380998611
"B21d_2",0.287475675344467
"B22d_1",0.460333734750748
"B22d_2",0.128188163042068
"B31_1",0.0496640056371689
"B31_2",-0.282805800437927
"B32_1",-0.173832893371582
"B32_2",-0.486509710550308
"Lmd1f1",1.40422236919403
"Lmd1f2",0.754762530326843
"Lmd1f3",1.15414690971375
"Lmd1f4",1.48352265357971
"Lmd2f_1",2.87724876403809
"Lmd2f_2",1.3847713470459
"log_Qd_1",-2.10434484481812
"log_Qd_2",-1.82549166679382
"log_R1d_1",-1.06423449516296
"log_R1d_2",-1.02075827121735
"log_R1d_3",-0.496099412441254
"log_R1d_4",-1.21672058105469
"log_R1d_5",-1.51475751399994
"log_R1d_6",-0.948301553726196
"log_R2d_1",2.0784318447113
"log_R2d_2",-1.41776657104492
"log_R2d_3",2.89274764060974
"gamma1",2.9773485660553
"gamma2_1",0.547911465167999
"gamma2_2",-0.17803792655468
"gamma3",-0.0303232930600643
"gamma4_1",0.991109848022461
"gamma4_2",-0.901728510856628
"logit_tP_SB",-4.8340277671814
