"Parameter","Value"
"B11_1",-0.0420087873935699
"B11_2",-0.100918903946877
"log_B12_delta_1",-0.858822762966156
"log_B12_delta_2",-0.0518096834421158
"B21d_1",0.337797373533249
"B21d_2",0.352132350206375
"B22d_1",0.340837746858597
"B22d_2",0.247744962573051
"B31_1",-0.00706915697082877
"B31_2",0.057612806558609
"B32_1",0.361052513122559
"B32_2",0.0888159349560738
"Lmd1f1",0.932332575321198
"Lmd1f2",0.740312933921814
"Lmd1f3",1.08018147945404
"Lmd1f4",1.36643147468567
"Lmd2f_1",2.46621799468994
"Lmd2f_2",2.49335837364197
"log_Qd_1",-1.54226160049438
"log_Qd_2",-1.56211042404175
"log_R1d_1",-1.19677436351776
"log_R1d_2",-0.920718371868134
"log_R1d_3",-0.472772687673569
"log_R1d_4",-1.26474678516388
"log_R1d_5",-1.33993351459503
"log_R1d_6",-0.753407299518585
"log_R2d_1",-1.72406148910522
"log_R2d_2",2.92282629013062
"log_R2d_3",0.582984447479248
"gamma1",3.55501389503479
"gamma2_1",-1.94142556190491
"gamma2_2",-1.64951682090759
"gamma3",-0.462814748287201
"gamma4_1",-1.15720403194427
"gamma4_2",1.26288497447968
"logit_tP_SB",-1.41584050655365
