"Parameter","Value"
"B11_1",0.00209069973789155
"B11_2",-0.152292937040329
"log_B12_delta_1",-0.738063335418701
"log_B12_delta_2",-0.049370102584362
"B21d_1",0.273534089326859
"B21d_2",0.219592303037643
"B22d_1",0.372936367988586
"B22d_2",0.275781869888306
"B31_1",-0.0197757668793201
"B31_2",-0.646662294864655
"B32_1",-0.467822760343552
"B32_2",-0.0936577320098877
"Lmd1f1",0.780094981193542
"Lmd1f2",0.672139763832092
"Lmd1f3",1.1341792345047
"Lmd1f4",1.53047013282776
"Lmd2f_1",4.45741081237793
"Lmd2f_2",1.53055560588837
"log_Qd_1",-1.34934020042419
"log_Qd_2",-1.59509468078613
"log_R1d_1",-1.28181183338165
"log_R1d_2",-0.717426419258118
"log_R1d_3",-0.529437303543091
"log_R1d_4",-1.23188841342926
"log_R1d_5",-1.45937597751617
"log_R1d_6",-0.760447323322296
"log_R2d_1",1.8370418548584
"log_R2d_2",-0.875841319561005
"log_R2d_3",3.29068350791931
"gamma1",3.38937830924988
"gamma2_1",1.0575966835022
"gamma2_2",-0.0773936659097672
"gamma3",0.665097892284393
"gamma4_1",-2.44801664352417
"gamma4_2",-2.8352792263031
"logit_tP_SB",-4.61411571502686
