"Parameter","Value"
"B11_1",-0.0963404178619385
"B11_2",-0.162559106945992
"log_B12_delta_1",-0.734049141407013
"log_B12_delta_2",-0.591136157512665
"B21d_1",0.36968132853508
"B21d_2",0.135498777031898
"B22d_1",0.441934108734131
"B22d_2",0.626270353794098
"B31_1",-0.064093329012394
"B31_2",0.317676812410355
"B32_1",0.12081952393055
"B32_2",0.131351158022881
"Lmd1f1",0.937039911746979
"Lmd1f2",0.762325048446655
"Lmd1f3",0.987556755542755
"Lmd1f4",1.29542624950409
"Lmd2f_1",2.72836399078369
"Lmd2f_2",2.27224159240723
"log_Qd_1",-1.6998256444931
"log_Qd_2",-1.39916479587555
"log_R1d_1",-1.19720363616943
"log_R1d_2",-0.745463609695435
"log_R1d_3",-0.621726393699646
"log_R1d_4",-1.35435307025909
"log_R1d_5",-1.44063770771027
"log_R1d_6",-0.794482588768005
"log_R2d_1",-1.38167417049408
"log_R2d_2",1.97603225708008
"log_R2d_3",0.316915422677994
"gamma1",4.02707481384277
"gamma2_1",0.435601264238358
"gamma2_2",1.31126844882965
"gamma3",-1.43673861026764
"gamma4_1",0.798429012298584
"gamma4_2",0.709647059440613
"logit_tP_SB",-0.107889279723167
