"Parameter","Value"
"B11_1",0.102950870990753
"B11_2",-0.16018171608448
"log_B12_delta_1",-1.19158411026001
"log_B12_delta_2",-0.101865336298943
"B21d_1",0.192804738879204
"B21d_2",0.323534578084946
"B22d_1",0.432220458984375
"B22d_2",0.309340447187424
"B31_1",0.0533623844385147
"B31_2",0.175195679068565
"B32_1",0.301356613636017
"B32_2",0.17921082675457
"Lmd1f1",1.07196485996246
"Lmd1f2",0.524683356285095
"Lmd1f3",1.03512692451477
"Lmd1f4",1.31184136867523
"Lmd2f_1",1.28625619411469
"Lmd2f_2",2.33277130126953
"log_Qd_1",-1.56359171867371
"log_Qd_2",-1.43127179145813
"log_R1d_1",-1.28872621059418
"log_R1d_2",-0.977306127548218
"log_R1d_3",-0.410057038068771
"log_R1d_4",-1.27967631816864
"log_R1d_5",-1.34003281593323
"log_R1d_6",-0.800211429595947
"log_R2d_1",-1.13805961608887
"log_R2d_2",3.12532234191895
"log_R2d_3",2.73870038986206
"gamma1",3.84247422218323
"gamma2_1",0.415116488933563
"gamma2_2",-2.41443419456482
"gamma3",-0.537257432937622
"gamma4_1",0.226121842861176
"gamma4_2",-0.469027161598206
"logit_tP_SB",-1.14622569084167
