"Parameter","Value"
"B11_1",0.158741280436516
"B11_2",-0.128725588321686
"log_B12_delta_1",-1.0835394859314
"log_B12_delta_2",-0.0372141376137733
"B21d_1",0.175009965896606
"B21d_2",0.288209676742554
"B22d_1",0.45712998509407
"B22d_2",0.256605207920074
"B31_1",-0.0374161414802074
"B31_2",-0.374082773923874
"B32_1",-0.13644751906395
"B32_2",-0.417064428329468
"Lmd1f1",1.17468726634979
"Lmd1f2",0.774205446243286
"Lmd1f3",1.01284766197205
"Lmd1f4",1.35465168952942
"Lmd2f_1",3.6711254119873
"Lmd2f_2",0.941544055938721
"log_Qd_1",-1.68164432048798
"log_Qd_2",-1.44543302059174
"log_R1d_1",-1.17704403400421
"log_R1d_2",-0.904697597026825
"log_R1d_3",-0.47998633980751
"log_R1d_4",-1.30431950092316
"log_R1d_5",-1.25352168083191
"log_R1d_6",-0.811102986335754
"log_R2d_1",3.2202672958374
"log_R2d_2",-1.57872021198273
"log_R2d_3",2.63516139984131
"gamma1",4.43497228622437
"gamma2_1",-0.343869537115097
"gamma2_2",-3.53238725662231
"gamma3",-1.36077320575714
"gamma4_1",5.87448167800903
"gamma4_2",2.98691844940186
"logit_tP_SB",-2.56522369384766
