"Parameter","Value"
"B11_1",-0.00752473203465343
"B11_2",0.0401482209563255
"log_B12_delta_1",-0.843168437480927
"log_B12_delta_2",-0.546240568161011
"B21d_1",0.385751008987427
"B21d_2",0.216778635978699
"B22d_1",0.409661024808884
"B22d_2",0.482961535453796
"B31_1",-0.0634997338056564
"B31_2",0.374063938856125
"B32_1",0.699794769287109
"B32_2",0.271508455276489
"Lmd1f1",0.966356873512268
"Lmd1f2",0.756617486476898
"Lmd1f3",1.0329577922821
"Lmd1f4",1.34915733337402
"Lmd2f_1",-3.72833776473999
"Lmd2f_2",3.51063942909241
"log_Qd_1",-1.4939124584198
"log_Qd_2",-1.456618309021
"log_R1d_1",-1.21076726913452
"log_R1d_2",-0.860063314437866
"log_R1d_3",-0.548490285873413
"log_R1d_4",-1.26026201248169
"log_R1d_5",-1.49345970153809
"log_R1d_6",-0.717704176902771
"log_R2d_1",1.77178704738617
"log_R2d_2",-0.0876787528395653
"log_R2d_3",0.903439104557037
"gamma1",3.39734649658203
"gamma2_1",1.06556224822998
"gamma2_2",0.603575170040131
"gamma3",-1.36177897453308
"gamma4_1",2.4593300819397
"gamma4_2",-3.86236429214478
"logit_tP_SB",-4.09394788742065
