"Parameter","Value"
"B11_1",-0.0346169285476208
"B11_2",-0.099226176738739
"log_B12_delta_1",-1.10358798503876
"log_B12_delta_2",-0.239828526973724
"B21d_1",0.309112012386322
"B21d_2",0.258203119039536
"B22d_1",0.521628499031067
"B22d_2",0.36300727725029
"B31_1",-0.00942887179553509
"B31_2",0.262354999780655
"B32_1",0.226850003004074
"B32_2",0.152399569749832
"Lmd1f1",1.04706943035126
"Lmd1f2",0.720580875873566
"Lmd1f3",1.11205017566681
"Lmd1f4",1.48988354206085
"Lmd2f_1",-3.22931694984436
"Lmd2f_2",2.7365288734436
"log_Qd_1",-1.52066230773926
"log_Qd_2",-1.4931492805481
"log_R1d_1",-1.15795171260834
"log_R1d_2",-0.918367862701416
"log_R1d_3",-0.48872298002243
"log_R1d_4",-1.29167258739471
"log_R1d_5",-1.54146766662598
"log_R1d_6",-0.943268716335297
"log_R2d_1",-1.1056489944458
"log_R2d_2",0.0522488355636597
"log_R2d_3",1.79773855209351
"gamma1",3.91814279556274
"gamma2_1",-1.44196557998657
"gamma2_2",-3.5387909412384
"gamma3",-1.24654769897461
"gamma4_1",2.21997952461243
"gamma4_2",2.53290414810181
"logit_tP_SB",-2.81684589385986
