"Parameter","Value"
"B11_1",0.0764098390936852
"B11_2",-0.192150801420212
"log_B12_delta_1",-1.17811965942383
"log_B12_delta_2",-0.294121593236923
"B21d_1",0.334766656160355
"B21d_2",0.244712546467781
"B22d_1",0.452631801366806
"B22d_2",0.347925901412964
"B31_1",-0.00733112031593919
"B31_2",0.0915801897644997
"B32_1",0.0699490383267403
"B32_2",0.19764544069767
"Lmd1f1",1.03523576259613
"Lmd1f2",0.995577991008759
"Lmd1f3",1.08498895168304
"Lmd1f4",1.40206956863403
"Lmd2f_1",1.12028884887695
"Lmd2f_2",2.54404139518738
"log_Qd_1",-1.92891383171082
"log_Qd_2",-1.32426083087921
"log_R1d_1",-1.14768242835999
"log_R1d_2",-0.691042065620422
"log_R1d_3",-0.568594396114349
"log_R1d_4",-1.24311769008636
"log_R1d_5",-1.32502603530884
"log_R1d_6",-0.761387467384338
"log_R2d_1",-1.36814498901367
"log_R2d_2",1.98781454563141
"log_R2d_3",2.64104986190796
"gamma1",3.5910313129425
"gamma2_1",1.25346755981445
"gamma2_2",-2.74086475372314
"gamma3",0.203742280602455
"gamma4_1",-0.0702728182077408
"gamma4_2",0.76205438375473
"logit_tP_SB",-2.29888701438904
