"Parameter","Value"
"B11_1",0.00581270549446344
"B11_2",-0.171773731708527
"log_B12_delta_1",-0.850975632667542
"log_B12_delta_2",-0.182983562350273
"B21d_1",0.187275573611259
"B21d_2",0.173179104924202
"B22d_1",0.415906935930252
"B22d_2",0.368207156658173
"B31_1",-0.0359081104397774
"B31_2",0.177253589034081
"B32_1",0.142502635717392
"B32_2",0.260710537433624
"Lmd1f1",1.02543747425079
"Lmd1f2",0.83599841594696
"Lmd1f3",1.00912725925446
"Lmd1f4",1.47107970714569
"Lmd2f_1",1.65851020812988
"Lmd2f_2",2.907470703125
"log_Qd_1",-1.49903070926666
"log_Qd_2",-1.42466616630554
"log_R1d_1",-1.4007728099823
"log_R1d_2",-0.870075881481171
"log_R1d_3",-0.538297832012177
"log_R1d_4",-1.19628882408142
"log_R1d_5",-1.43051671981812
"log_R1d_6",-0.896181225776672
"log_R2d_1",-1.68938720226288
"log_R2d_2",1.57897281646729
"log_R2d_3",1.03097796440125
"gamma1",3.84444785118103
"gamma2_1",-2.00652647018433
"gamma2_2",-3.60114884376526
"gamma3",0.433387249708176
"gamma4_1",-1.95462012290955
"gamma4_2",0.6512610912323
"logit_tP_SB",-1.89681327342987
