"Parameter","Value"
"B11_1",-0.00278592621907592
"B11_2",-0.104509517550468
"log_B12_delta_1",-1.04471099376678
"log_B12_delta_2",-0.40172603726387
"B21d_1",0.294025927782059
"B21d_2",0.212537616491318
"B22d_1",0.697356283664703
"B22d_2",0.552871286869049
"B31_1",-0.0507199652493
"B31_2",-0.0698696747422218
"B32_1",0.116621769964695
"B32_2",-0.100006729364395
"Lmd1f1",0.848636329174042
"Lmd1f2",0.71582818031311
"Lmd1f3",1.11769735813141
"Lmd1f4",1.38212895393372
"Lmd2f_1",2.56733870506287
"Lmd2f_2",2.83315896987915
"log_Qd_1",-1.48855876922607
"log_Qd_2",-1.4790678024292
"log_R1d_1",-1.31367874145508
"log_R1d_2",-0.832452297210693
"log_R1d_3",-0.525350451469421
"log_R1d_4",-1.28950309753418
"log_R1d_5",-1.41494083404541
"log_R1d_6",-0.861889123916626
"log_R2d_1",1.53304588794708
"log_R2d_2",0.652994394302368
"log_R2d_3",0.742342889308929
"gamma1",3.41912317276001
"gamma2_1",-0.828325033187866
"gamma2_2",0.757553160190582
"gamma3",-0.29418671131134
"gamma4_1",1.19994342327118
"gamma4_2",-4.30889940261841
"logit_tP_SB",2.14661836624146
