"Parameter","Value"
"B11_1",0.0405458584427834
"B11_2",-0.120189763605595
"log_B12_delta_1",-0.441714495420456
"log_B12_delta_2",-0.142095670104027
"B21d_1",0.361772686243057
"B21d_2",0.244909644126892
"B22d_1",0.204913035035133
"B22d_2",0.406527131795883
"B31_1",0.130882188677788
"B31_2",-0.419932514429092
"B32_1",-0.513012707233429
"B32_2",-0.772656202316284
"Lmd1f1",0.98400890827179
"Lmd1f2",0.76980596780777
"Lmd1f3",1.025914311409
"Lmd1f4",1.44971930980682
"Lmd2f_1",5.17385864257812
"Lmd2f_2",1.47658717632294
"log_Qd_1",-1.61275541782379
"log_Qd_2",-1.63323950767517
"log_R1d_1",-1.25221693515778
"log_R1d_2",-0.874106526374817
"log_R1d_3",-0.617302536964417
"log_R1d_4",-1.28923785686493
"log_R1d_5",-1.37533485889435
"log_R1d_6",-0.662636280059814
"log_R2d_1",2.96753215789795
"log_R2d_2",-1.95887184143066
"log_R2d_3",2.03218698501587
"gamma1",3.39959239959717
"gamma2_1",0.502912938594818
"gamma2_2",-2.06831312179565
"gamma3",-2.33103847503662
"gamma4_1",-1.60570895671844
"gamma4_2",-0.614886581897736
"logit_tP_SB",-1.37514424324036
