"Parameter","Value"
"B11_1",-0.0395406261086464
"B11_2",-0.10480672121048
"log_B12_delta_1",-0.8492271900177
"log_B12_delta_2",-0.0321734547615051
"B21d_1",0.258999228477478
"B21d_2",0.252000212669373
"B22d_1",0.399579554796219
"B22d_2",0.140396788716316
"B31_1",-0.201567977666855
"B31_2",0.432393997907639
"B32_1",0.30908676981926
"B32_2",0.0457054600119591
"Lmd1f1",0.977614879608154
"Lmd1f2",0.868922829627991
"Lmd1f3",1.17440867424011
"Lmd1f4",1.39295983314514
"Lmd2f_1",-3.22489309310913
"Lmd2f_2",0.376247435808182
"log_Qd_1",-1.44666707515717
"log_Qd_2",-1.52801632881165
"log_R1d_1",-1.19044041633606
"log_R1d_2",-0.818558692932129
"log_R1d_3",-0.457850843667984
"log_R1d_4",-1.40301537513733
"log_R1d_5",-1.32919704914093
"log_R1d_6",-0.787380814552307
"log_R2d_1",0.144702672958374
"log_R2d_2",0.742864787578583
"log_R2d_3",0.359293103218079
"gamma1",5.18658256530762
"gamma2_1",-2.23608183860779
"gamma2_2",-5.65256118774414
"gamma3",2.14235949516296
"gamma4_1",0.39965882897377
"gamma4_2",-1.8065493106842
"logit_tP_SB",-0.961719036102295
