"Parameter","Value"
"B11_1",0.00799696240574121
"B11_2",-0.0872296541929245
"log_B12_delta_1",-1.20213258266449
"log_B12_delta_2",0.0845624953508377
"B21d_1",0.337352901697159
"B21d_2",0.240135788917542
"B22d_1",0.58901983499527
"B22d_2",0.0961579456925392
"B31_1",-0.0134257916361094
"B31_2",-0.320489913225174
"B32_1",-0.0719342306256294
"B32_2",-0.529697716236115
"Lmd1f1",0.883359789848328
"Lmd1f2",0.762429356575012
"Lmd1f3",1.05614423751831
"Lmd1f4",1.28296053409576
"Lmd2f_1",2.59528923034668
"Lmd2f_2",2.70428538322449
"log_Qd_1",-1.46672999858856
"log_Qd_2",-1.49597072601318
"log_R1d_1",-1.31951200962067
"log_R1d_2",-0.873391389846802
"log_R1d_3",-0.533711194992065
"log_R1d_4",-1.17669868469238
"log_R1d_5",-1.37550961971283
"log_R1d_6",-0.693968057632446
"log_R2d_1",2.61231875419617
"log_R2d_2",-1.67829048633575
"log_R2d_3",2.55660724639893
"gamma1",3.40449523925781
"gamma2_1",0.377608269453049
"gamma2_2",-0.722125947475433
"gamma3",0.668255031108856
"gamma4_1",-0.202380463480949
"gamma4_2",-4.78070592880249
"logit_tP_SB",-1.38844263553619
