"Parameter","Value"
"B11_1",-0.0306998826563358
"B11_2",-0.069346509873867
"log_B12_delta_1",-1.12746584415436
"log_B12_delta_2",0.265453428030014
"B21d_1",0.319149345159531
"B21d_2",0.188550889492035
"B22d_1",0.634166598320007
"B22d_2",0.0142957791686058
"B31_1",-0.0678349211812019
"B31_2",-0.528741061687469
"B32_1",-0.185276925563812
"B32_2",-0.524596273899078
"Lmd1f1",1.01460552215576
"Lmd1f2",0.893315613269806
"Lmd1f3",1.04148578643799
"Lmd1f4",1.25313663482666
"Lmd2f_1",2.79930281639099
"Lmd2f_2",-1.97588682174683
"log_Qd_1",-1.70494866371155
"log_Qd_2",-1.4025239944458
"log_R1d_1",-1.1653927564621
"log_R1d_2",-0.874347805976868
"log_R1d_3",-0.695661425590515
"log_R1d_4",-1.35845041275024
"log_R1d_5",-1.46485757827759
"log_R1d_6",-0.698667645454407
"log_R2d_1",2.61831116676331
"log_R2d_2",-0.49385392665863
"log_R2d_3",0.91853803396225
"gamma1",4.27171993255615
"gamma2_1",-1.36835539340973
"gamma2_2",-2.47208952903748
"gamma3",-0.749428749084473
"gamma4_1",0.25145748257637
"gamma4_2",1.60572957992554
"logit_tP_SB",-0.252551108598709
