"Parameter","Value"
"B11_1",-0.0426387153565884
"B11_2",-0.054861769080162
"log_B12_delta_1",-1.03471064567566
"log_B12_delta_2",0.189123645424843
"B21d_1",0.299851387739182
"B21d_2",0.218162804841995
"B22d_1",0.482204109430313
"B22d_2",0.0288395695388317
"B31_1",0.00884611345827579
"B31_2",0.166873097419739
"B32_1",-0.0221326593309641
"B32_2",0.324896901845932
"Lmd1f1",1.32852113246918
"Lmd1f2",1.0116845369339
"Lmd1f3",1.16337847709656
"Lmd1f4",1.41811001300812
"Lmd2f_1",0.285899013280869
"Lmd2f_2",2.05801486968994
"log_Qd_1",-1.86611247062683
"log_Qd_2",-1.60774385929108
"log_R1d_1",-0.983772397041321
"log_R1d_2",-0.900217533111572
"log_R1d_3",-0.575056612491608
"log_R1d_4",-1.28970384597778
"log_R1d_5",-1.44113230705261
"log_R1d_6",-0.864296317100525
"log_R2d_1",-0.911452889442444
"log_R2d_2",3.34596490859985
"log_R2d_3",0.539697825908661
"gamma1",3.30672383308411
"gamma2_1",0.904459357261658
"gamma2_2",0.510299146175385
"gamma3",-0.882367849349976
"gamma4_1",-1.0291633605957
"gamma4_2",-0.147213399410248
"logit_tP_SB",-3.69455313682556
