"Parameter","Value"
"B11_1",0.0132007347419858
"B11_2",-0.208547651767731
"log_B12_delta_1",-0.558279812335968
"log_B12_delta_2",-0.0557275488972664
"B21d_1",0.27219820022583
"B21d_2",0.301129519939423
"B22d_1",0.27182748913765
"B22d_2",0.315082341432571
"B31_1",-0.0218970440328121
"B31_2",-0.291589915752411
"B32_1",-0.499790906906128
"B32_2",-0.244234338402748
"Lmd1f1",1.1255909204483
"Lmd1f2",0.86186546087265
"Lmd1f3",1.05553007125854
"Lmd1f4",1.46761953830719
"Lmd2f_1",2.76816344261169
"Lmd2f_2",2.34921455383301
"log_Qd_1",-1.64050936698914
"log_Qd_2",-1.44044077396393
"log_R1d_1",-1.20793628692627
"log_R1d_2",-1.0025622844696
"log_R1d_3",-0.463372707366943
"log_R1d_4",-1.37732064723969
"log_R1d_5",-1.37567842006683
"log_R1d_6",-0.832728505134583
"log_R2d_1",2.44323134422302
"log_R2d_2",-0.909283041954041
"log_R2d_3",2.42038822174072
"gamma1",3.73168158531189
"gamma2_1",-0.039197102189064
"gamma2_2",-0.85780131816864
"gamma3",-0.748486638069153
"gamma4_1",0.493295639753342
"gamma4_2",0.774277865886688
"logit_tP_SB",-1.78048729896545
