"Parameter","Value"
"B11_1",-0.003157839179039
"B11_2",-0.16940738260746
"log_B12_delta_1",-0.707879722118378
"log_B12_delta_2",-0.551882922649384
"B21d_1",0.351569622755051
"B21d_2",0.212728783488274
"B22d_1",-0.0209964476525784
"B22d_2",0.571416676044464
"B31_1",-0.0416028313338757
"B31_2",-0.404888272285461
"B32_1",-0.82961893081665
"B32_2",-0.654919028282166
"Lmd1f1",1.16602993011475
"Lmd1f2",0.686106324195862
"Lmd1f3",1.04616475105286
"Lmd1f4",1.43099081516266
"Lmd2f_1",4.54523515701294
"Lmd2f_2",-1.75716555118561
"log_Qd_1",-1.87541484832764
"log_Qd_2",-1.38058602809906
"log_R1d_1",-1.17311251163483
"log_R1d_2",-0.847601771354675
"log_R1d_3",-0.48585906624794
"log_R1d_4",-1.30331027507782
"log_R1d_5",-1.43586754798889
"log_R1d_6",-0.897548973560333
"log_R2d_1",2.2832396030426
"log_R2d_2",-0.392864108085632
"log_R2d_3",-0.117989242076874
"gamma1",3.60731649398804
"gamma2_1",-1.52218759059906
"gamma2_2",-2.80459260940552
"gamma3",-0.484782099723816
"gamma4_1",-1.07327973842621
"gamma4_2",2.24360203742981
"logit_tP_SB",-1.07824838161469
