"Parameter","Value"
"B11_1",0.0165358185768127
"B11_2",-0.0462690815329552
"log_B12_delta_1",-0.749621272087097
"log_B12_delta_2",0.0866980254650116
"B21d_1",0.381762981414795
"B21d_2",0.274717569351196
"B22d_1",0.268609702587128
"B22d_2",0.0902588292956352
"B31_1",-0.0830548629164696
"B31_2",-0.355302065610886
"B32_1",-0.0523604564368725
"B32_2",-0.718721032142639
"Lmd1f1",1.02733480930328
"Lmd1f2",0.960377156734467
"Lmd1f3",1.03985393047333
"Lmd1f4",1.46118867397308
"Lmd2f_1",2.62921261787415
"Lmd2f_2",-2.93793201446533
"log_Qd_1",-1.65725708007812
"log_Qd_2",-1.56009531021118
"log_R1d_1",-1.23151838779449
"log_R1d_2",-0.870001912117004
"log_R1d_3",-0.536865890026093
"log_R1d_4",-1.3707959651947
"log_R1d_5",-1.4128350019455
"log_R1d_6",-0.87046867609024
"log_R2d_1",1.34712207317352
"log_R2d_2",-0.961888670921326
"log_R2d_3",1.22223520278931
"gamma1",3.24522686004639
"gamma2_1",-0.128946036100388
"gamma2_2",-0.31645792722702
"gamma3",-0.340762048959732
"gamma4_1",-0.697774708271027
"gamma4_2",1.44634234905243
"logit_tP_SB",-0.0604559071362019
