"Parameter","Value"
"B11_1",-0.0474739074707031
"B11_2",-0.0430232994258404
"log_B12_delta_1",-0.740544557571411
"log_B12_delta_2",0.032178457826376
"B21d_1",0.23345211148262
"B21d_2",0.197831407189369
"B22d_1",0.44373494386673
"B22d_2",0.16073739528656
"B31_1",0.171022295951843
"B31_2",-0.671766877174377
"B32_1",-0.17331337928772
"B32_2",-0.65644359588623
"Lmd1f1",0.975072741508484
"Lmd1f2",0.634667456150055
"Lmd1f3",1.11620271205902
"Lmd1f4",1.45308351516724
"Lmd2f_1",4.08807849884033
"Lmd2f_2",0.672586858272552
"log_Qd_1",-1.62885105609894
"log_Qd_2",-1.55928015708923
"log_R1d_1",-1.34078049659729
"log_R1d_2",-0.917494833469391
"log_R1d_3",-0.550708472728729
"log_R1d_4",-1.20326960086823
"log_R1d_5",-1.47399854660034
"log_R1d_6",-0.81997686624527
"log_R2d_1",1.77995574474335
"log_R2d_2",-1.63405776023865
"log_R2d_3",2.74426221847534
"gamma1",3.7380518913269
"gamma2_1",0.380612909793854
"gamma2_2",-0.466717928647995
"gamma3",-0.277270764112473
"gamma4_1",2.19180583953857
"gamma4_2",0.350617259740829
"logit_tP_SB",-2.26077079772949
