"Parameter","Value"
"B11_1",0.0642512887716293
"B11_2",-0.103480242192745
"log_B12_delta_1",-0.587498128414154
"log_B12_delta_2",-0.104215413331985
"B21d_1",0.300960004329681
"B21d_2",0.265343725681305
"B22d_1",0.140004366636276
"B22d_2",0.247580289840698
"B31_1",-0.0204243510961533
"B31_2",-0.237595081329346
"B32_1",-0.282393902540207
"B32_2",-0.102898791432381
"Lmd1f1",1.13332664966583
"Lmd1f2",1.03991222381592
"Lmd1f3",1.12516689300537
"Lmd1f4",1.42403602600098
"Lmd2f_1",1.94978415966034
"Lmd2f_2",2.53808665275574
"log_Qd_1",-1.82059037685394
"log_Qd_2",-1.49361097812653
"log_R1d_1",-1.12589275836945
"log_R1d_2",-0.809475660324097
"log_R1d_3",-0.592758297920227
"log_R1d_4",-1.28077936172485
"log_R1d_5",-1.42870759963989
"log_R1d_6",-0.874840199947357
"log_R2d_1",2.31163573265076
"log_R2d_2",-0.869003772735596
"log_R2d_3",2.35197234153748
"gamma1",3.70457029342651
"gamma2_1",-1.24436104297638
"gamma2_2",-0.264350831508636
"gamma3",0.246687412261963
"gamma4_1",0.491890788078308
"gamma4_2",0.279082626104355
"logit_tP_SB",-0.971350133419037
