"Parameter","Value"
"B11_1",0.065012589097023
"B11_2",-0.0969552919268608
"log_B12_delta_1",-1.30920350551605
"log_B12_delta_2",-0.024044381454587
"B21d_1",0.271915763616562
"B21d_2",0.311261743307114
"B22d_1",0.492121815681458
"B22d_2",0.307489782571793
"B31_1",-0.00892449449747801
"B31_2",-0.536864459514618
"B32_1",-0.566172659397125
"B32_2",-0.294311046600342
"Lmd1f1",1.15649783611298
"Lmd1f2",0.621012687683105
"Lmd1f3",1.06171989440918
"Lmd1f4",1.3606024980545
"Lmd2f_1",4.31414413452148
"Lmd2f_2",2.58136320114136
"log_Qd_1",-1.54951333999634
"log_Qd_2",-1.5802047252655
"log_R1d_1",-1.22065055370331
"log_R1d_2",-1.07359969615936
"log_R1d_3",-0.487191051244736
"log_R1d_4",-1.19670069217682
"log_R1d_5",-1.43673622608185
"log_R1d_6",-0.772607505321503
"log_R2d_1",1.3837822675705
"log_R2d_2",-0.215190216898918
"log_R2d_3",1.15396058559418
"gamma1",3.73265194892883
"gamma2_1",1.19779396057129
"gamma2_2",0.235669836401939
"gamma3",0.608135521411896
"gamma4_1",-0.657120168209076
"gamma4_2",-2.4977126121521
"logit_tP_SB",-2.87196898460388
