"Parameter","Value"
"B11_1",0.0984705165028572
"B11_2",-0.0649713426828384
"log_B12_delta_1",-0.679253280162811
"log_B12_delta_2",-0.0365920998156071
"B21d_1",0.289946228265762
"B21d_2",0.194084674119949
"B22d_1",0.394641131162643
"B22d_2",0.264859586954117
"B31_1",0.111972950398922
"B31_2",-0.294515311717987
"B32_1",-0.187495306134224
"B32_2",-0.154926583170891
"Lmd1f1",1.01198899745941
"Lmd1f2",0.774734854698181
"Lmd1f3",1.06187415122986
"Lmd1f4",1.37031149864197
"Lmd2f_1",2.06646776199341
"Lmd2f_2",1.57812678813934
"log_Qd_1",-1.68602252006531
"log_Qd_2",-1.37353360652924
"log_R1d_1",-1.0702155828476
"log_R1d_2",-0.928577125072479
"log_R1d_3",-0.561874568462372
"log_R1d_4",-1.28246128559113
"log_R1d_5",-1.54429280757904
"log_R1d_6",-0.598508715629578
"log_R2d_1",2.46183347702026
"log_R2d_2",-0.96536523103714
"log_R2d_3",2.85098528862
"gamma1",3.82331895828247
"gamma2_1",-0.712798118591309
"gamma2_2",0.290363878011703
"gamma3",0.450978517532349
"gamma4_1",0.844258606433868
"gamma4_2",2.74668884277344
"logit_tP_SB",-1.43769192695618
