"Parameter","Value"
"B11_1",-0.00662777666002512
"B11_2",-0.1576037555933
"log_B12_delta_1",-1.05337131023407
"log_B12_delta_2",-0.329025208950043
"B21d_1",0.31698077917099
"B21d_2",0.281635016202927
"B22d_1",0.521013796329498
"B22d_2",0.550226509571075
"B31_1",-0.00371855869889259
"B31_2",-0.395533740520477
"B32_1",-0.0833411514759064
"B32_2",-0.320257186889648
"Lmd1f1",1.12275075912476
"Lmd1f2",0.760922968387604
"Lmd1f3",1.10837638378143
"Lmd1f4",1.44592034816742
"Lmd2f_1",3.08004331588745
"Lmd2f_2",2.05740547180176
"log_Qd_1",-1.51924049854279
"log_Qd_2",-1.6883008480072
"log_R1d_1",-1.22348034381866
"log_R1d_2",-0.975874304771423
"log_R1d_3",-0.488978087902069
"log_R1d_4",-1.20644497871399
"log_R1d_5",-1.53803968429565
"log_R1d_6",-0.832297027111053
"log_R2d_1",1.03315949440002
"log_R2d_2",-0.741614043712616
"log_R2d_3",2.49821901321411
"gamma1",3.65410590171814
"gamma2_1",0.247147902846336
"gamma2_2",1.05865323543549
"gamma3",0.524419784545898
"gamma4_1",0.772731125354767
"gamma4_2",-2.12899017333984
"logit_tP_SB",3.23293614387512
