"Parameter","Value"
"B11_1",0.0352057591080666
"B11_2",-0.0628117769956589
"log_B12_delta_1",-0.74644523859024
"log_B12_delta_2",0.331100970506668
"B21d_1",0.329487711191177
"B21d_2",0.227562889456749
"B22d_1",0.474619507789612
"B22d_2",-0.00403927452862263
"B31_1",0.0589040629565716
"B31_2",-0.406839162111282
"B32_1",-0.263784557580948
"B32_2",-0.56706714630127
"Lmd1f1",0.880938112735748
"Lmd1f2",0.679899394512177
"Lmd1f3",1.0676863193512
"Lmd1f4",1.44312858581543
"Lmd2f_1",2.67230796813965
"Lmd2f_2",2.74282813072205
"log_Qd_1",-1.45819711685181
"log_Qd_2",-1.51298129558563
"log_R1d_1",-1.38937163352966
"log_R1d_2",-0.826328158378601
"log_R1d_3",-0.560493052005768
"log_R1d_4",-1.24767351150513
"log_R1d_5",-1.37213349342346
"log_R1d_6",-0.857734024524689
"log_R2d_1",1.39369857311249
"log_R2d_2",-0.996269941329956
"log_R2d_3",1.1273820400238
"gamma1",3.85845923423767
"gamma2_1",-2.01655888557434
"gamma2_2",-1.14432632923126
"gamma3",-0.221321403980255
"gamma4_1",-2.89888620376587
"gamma4_2",1.58711564540863
"logit_tP_SB",-6.02343702316284
