"Parameter","Value"
"B11_1",0.0728554129600525
"B11_2",-0.0948929265141487
"log_B12_delta_1",-1.07331538200378
"log_B12_delta_2",0.173913106322289
"B21d_1",0.320710510015488
"B21d_2",0.201149806380272
"B22d_1",0.513486862182617
"B22d_2",0.103306636214256
"B31_1",-0.258217573165894
"B31_2",-0.75635814666748
"B32_1",-0.314735233783722
"B32_2",-0.280315160751343
"Lmd1f1",0.910757601261139
"Lmd1f2",0.776898145675659
"Lmd1f3",1.11885011196136
"Lmd1f4",1.35010993480682
"Lmd2f_1",4.58343505859375
"Lmd2f_2",2.42850303649902
"log_Qd_1",-1.49278771877289
"log_Qd_2",-1.47067964076996
"log_R1d_1",-1.34254217147827
"log_R1d_2",-0.908643245697021
"log_R1d_3",-0.550717949867249
"log_R1d_4",-1.26493990421295
"log_R1d_5",-1.46746230125427
"log_R1d_6",-0.696160018444061
"log_R2d_1",4.14637422561646
"log_R2d_2",-0.777434051036835
"log_R2d_3",0.325175523757935
"gamma1",4.108323097229
"gamma2_1",0.250344842672348
"gamma2_2",-2.35196614265442
"gamma3",-0.671256303787231
"gamma4_1",-3.67996668815613
"gamma4_2",3.54358315467834
"logit_tP_SB",-3.69898772239685
