"Parameter","Value"
"B11_1",-0.0549479573965073
"B11_2",-0.0293041225522757
"log_B12_delta_1",-1.30979204177856
"log_B12_delta_2",-0.185313925147057
"B21d_1",0.230122670531273
"B21d_2",0.286987602710724
"B22d_1",0.519620835781097
"B22d_2",0.348557412624359
"B31_1",-0.062012791633606
"B31_2",-0.381895154714584
"B32_1",-0.748575508594513
"B32_2",-0.635808944702148
"Lmd1f1",0.868945002555847
"Lmd1f2",0.697392106056213
"Lmd1f3",1.09418261051178
"Lmd1f4",1.33294534683228
"Lmd2f_1",3.54086780548096
"Lmd2f_2",0.0765948295593262
"log_Qd_1",-1.39884757995605
"log_Qd_2",-1.52008974552155
"log_R1d_1",-1.28918957710266
"log_R1d_2",-0.820796728134155
"log_R1d_3",-0.547390878200531
"log_R1d_4",-1.20843648910522
"log_R1d_5",-1.51338338851929
"log_R1d_6",-0.790047168731689
"log_R2d_1",0.539668202400208
"log_R2d_2",0.133221372961998
"log_R2d_3",3.90706610679626
"gamma1",3.84939980506897
"gamma2_1",0.0958214402198792
"gamma2_2",0.0511261746287346
"gamma3",-0.616149008274078
"gamma4_1",-1.79372775554657
"gamma4_2",-2.61707162857056
"logit_tP_SB",-2.11299967765808
