"Parameter","Value"
"B11_1",0.014342132024467
"B11_2",-0.146799013018608
"log_B12_delta_1",-1.06748342514038
"log_B12_delta_2",0.156047463417053
"B21d_1",0.320067763328552
"B21d_2",0.216688752174377
"B22d_1",0.549678206443787
"B22d_2",0.0114359073340893
"B31_1",-0.00103324349038303
"B31_2",-0.332542091608047
"B32_1",0.114950284361839
"B32_2",-0.594699442386627
"Lmd1f1",0.929106593132019
"Lmd1f2",0.785581707954407
"Lmd1f3",1.08733832836151
"Lmd1f4",1.455162525177
"Lmd2f_1",3.31061840057373
"Lmd2f_2",1.49922955036163
"log_Qd_1",-1.6033980846405
"log_Qd_2",-1.46538770198822
"log_R1d_1",-1.35241675376892
"log_R1d_2",-0.830104231834412
"log_R1d_3",-0.373997628688812
"log_R1d_4",-1.28334736824036
"log_R1d_5",-1.40999448299408
"log_R1d_6",-0.935810267925262
"log_R2d_1",1.24499034881592
"log_R2d_2",-1.15625774860382
"log_R2d_3",2.36710429191589
"gamma1",5.3339147567749
"gamma2_1",0.949075818061829
"gamma2_2",-5.32336378097534
"gamma3",0.209894567728043
"gamma4_1",0.575266182422638
"gamma4_2",-2.3534996509552
"logit_tP_SB",-1.80188977718353
