"Parameter","Value"
"B11_1",0.0565009377896786
"B11_2",-0.0904132872819901
"log_B12_delta_1",-0.994572818279266
"log_B12_delta_2",-0.250575989484787
"B21d_1",0.320132911205292
"B21d_2",0.236760005354881
"B22d_1",0.558793365955353
"B22d_2",0.399539738893509
"B31_1",-0.046091366559267
"B31_2",-0.210642799735069
"B32_1",-0.0139365401118994
"B32_2",-0.192840054631233
"Lmd1f1",1.0185866355896
"Lmd1f2",0.646474897861481
"Lmd1f3",1.09307599067688
"Lmd1f4",1.39130544662476
"Lmd2f_1",2.15928792953491
"Lmd2f_2",1.70059084892273
"log_Qd_1",-1.67602348327637
"log_Qd_2",-1.4986743927002
"log_R1d_1",-1.28390085697174
"log_R1d_2",-0.811214983463287
"log_R1d_3",-0.46564519405365
"log_R1d_4",-1.35576915740967
"log_R1d_5",-1.33884859085083
"log_R1d_6",-0.922149837017059
"log_R2d_1",2.06665110588074
"log_R2d_2",-1.42032182216644
"log_R2d_3",2.30691528320312
"gamma1",3.71322917938232
"gamma2_1",1.05371236801147
"gamma2_2",-0.411686629056931
"gamma3",2.18072438240051
"gamma4_1",-1.04357361793518
"gamma4_2",0.370162397623062
"logit_tP_SB",-3.22206282615662
