"Parameter","Value"
"B11_1",-0.0674429461359978
"B11_2",-0.00349132833071053
"log_B12_delta_1",-1.48387014865875
"log_B12_delta_2",-0.321511507034302
"B21d_1",0.288198709487915
"B21d_2",0.180498331785202
"B22d_1",0.633411824703217
"B22d_2",0.43492180109024
"B31_1",-0.0715901628136635
"B31_2",-0.336254328489304
"B32_1",0.472675144672394
"B32_2",0.582984149456024
"Lmd1f1",1.26003563404083
"Lmd1f2",0.843230485916138
"Lmd1f3",1.03113353252411
"Lmd1f4",1.46601927280426
"Lmd2f_1",3.3866400718689
"Lmd2f_2",1.7866028547287
"log_Qd_1",-1.81003940105438
"log_Qd_2",-1.5594447851181
"log_R1d_1",-1.17276167869568
"log_R1d_2",-1.04238414764404
"log_R1d_3",-0.379471004009247
"log_R1d_4",-1.35756468772888
"log_R1d_5",-1.31228530406952
"log_R1d_6",-0.914985597133636
"log_R2d_1",2.89930438995361
"log_R2d_2",-1.6496524810791
"log_R2d_3",2.30677771568298
"gamma1",3.91956901550293
"gamma2_1",0.239047408103943
"gamma2_2",-0.205373421311378
"gamma3",2.22419095039368
"gamma4_1",3.55091857910156
"gamma4_2",-0.27966570854187
"logit_tP_SB",-1.41067373752594
