"Parameter","Value"
"B11_1",-0.000172240426763892
"B11_2",-0.0846715942025185
"log_B12_delta_1",-1.10267078876495
"log_B12_delta_2",-0.0921047031879425
"B21d_1",0.283767402172089
"B21d_2",0.265638321638107
"B22d_1",0.587143301963806
"B22d_2",0.281096905469894
"B31_1",-0.0818505585193634
"B31_2",-0.472095131874084
"B32_1",-0.45792093873024
"B32_2",-0.229300364851952
"Lmd1f1",0.979432106018066
"Lmd1f2",0.787801563739777
"Lmd1f3",1.08515906333923
"Lmd1f4",1.48811781406403
"Lmd2f_1",4.33811950683594
"Lmd2f_2",3.27696180343628
"log_Qd_1",-1.60053586959839
"log_Qd_2",-1.62515687942505
"log_R1d_1",-1.19963991641998
"log_R1d_2",-0.965146839618683
"log_R1d_3",-0.560873568058014
"log_R1d_4",-1.14512515068054
"log_R1d_5",-1.39726281166077
"log_R1d_6",-0.911457359790802
"log_R2d_1",1.41417336463928
"log_R2d_2",-1.10492050647736
"log_R2d_3",1.08782005310059
"gamma1",3.94207262992859
"gamma2_1",1.66776263713837
"gamma2_2",-0.486957043409348
"gamma3",2.39264154434204
"gamma4_1",0.0657581388950348
"gamma4_2",-2.38789749145508
"logit_tP_SB",-2.60153770446777
