"Parameter","Value"
"B11_1",0.0204281453043222
"B11_2",-0.129041895270348
"log_B12_delta_1",-0.809730172157288
"log_B12_delta_2",0.249425232410431
"B21d_1",0.266804665327072
"B21d_2",0.202882573008537
"B22d_1",0.349214136600494
"B22d_2",-0.0511330813169479
"B31_1",-0.137759208679199
"B31_2",-0.28821787238121
"B32_1",-0.280757963657379
"B32_2",-0.661469161510468
"Lmd1f1",1.09766936302185
"Lmd1f2",0.711501002311707
"Lmd1f3",1.11640238761902
"Lmd1f4",1.45537233352661
"Lmd2f_1",2.41656923294067
"Lmd2f_2",2.56599926948547
"log_Qd_1",-1.55078184604645
"log_Qd_2",-1.56018483638763
"log_R1d_1",-1.35128474235535
"log_R1d_2",-1.01376914978027
"log_R1d_3",-0.438551604747772
"log_R1d_4",-1.4008800983429
"log_R1d_5",-1.3878356218338
"log_R1d_6",-0.788377702236176
"log_R2d_1",1.05441045761108
"log_R2d_2",-0.975098013877869
"log_R2d_3",0.488709390163422
"gamma1",3.8688793182373
"gamma2_1",-0.112139776349068
"gamma2_2",0.286397308111191
"gamma3",0.285124391317368
"gamma4_1",3.67839765548706
"gamma4_2",1.09500408172607
"logit_tP_SB",-3.80364346504211
