"Parameter","Value"
"B11_1",0.0439964979887009
"B11_2",-0.0694766789674759
"log_B12_delta_1",-0.919480979442596
"log_B12_delta_2",0.209089040756226
"B21d_1",0.314306020736694
"B21d_2",0.346696972846985
"B22d_1",0.542868912220001
"B22d_2",0.0445028208196163
"B31_1",0.0435528606176376
"B31_2",-0.163579866290092
"B32_1",-0.142164349555969
"B32_2",-0.111389182507992
"Lmd1f1",1.02561223506927
"Lmd1f2",0.657609879970551
"Lmd1f3",1.09238576889038
"Lmd1f4",1.36845099925995
"Lmd2f_1",2.2339973449707
"Lmd2f_2",3.14029622077942
"log_Qd_1",-1.6106196641922
"log_Qd_2",-1.51578533649445
"log_R1d_1",-1.21850633621216
"log_R1d_2",-0.819209277629852
"log_R1d_3",-0.569100975990295
"log_R1d_4",-1.29135024547577
"log_R1d_5",-1.6420214176178
"log_R1d_6",-0.684119641780853
"log_R2d_1",2.43043899536133
"log_R2d_2",-0.416870474815369
"log_R2d_3",1.59724974632263
"gamma1",3.40678930282593
"gamma2_1",-0.0369989797472954
"gamma2_2",-0.83361691236496
"gamma3",-0.671513080596924
"gamma4_1",3.56549048423767
"gamma4_2",-1.0560530424118
"logit_tP_SB",-1.03580629825592
