"Parameter","Value"
"B11_1",-0.082096666097641
"B11_2",-0.0768057331442833
"log_B12_delta_1",-0.802156567573547
"log_B12_delta_2",-0.09942327439785
"B21d_1",0.228732988238335
"B21d_2",0.230586767196655
"B22d_1",0.377488702535629
"B22d_2",0.180935755372047
"B31_1",-0.223976165056229
"B31_2",0.186599940061569
"B32_1",0.324986666440964
"B32_2",0.208404347300529
"Lmd1f1",0.880723237991333
"Lmd1f2",0.710260331630707
"Lmd1f3",1.17355561256409
"Lmd1f4",1.51457059383392
"Lmd2f_1",1.61706387996674
"Lmd2f_2",2.89936757087708
"log_Qd_1",-1.38590002059937
"log_Qd_2",-1.57679152488708
"log_R1d_1",-1.35566794872284
"log_R1d_2",-0.75831663608551
"log_R1d_3",-0.50788289308548
"log_R1d_4",-1.18481945991516
"log_R1d_5",-1.41422414779663
"log_R1d_6",-0.788969755172729
"log_R2d_1",-1.42652440071106
"log_R2d_2",3.03563857078552
"log_R2d_3",-0.322984397411346
"gamma1",3.30876493453979
"gamma2_1",0.421532332897186
"gamma2_2",-2.30582737922668
"gamma3",0.967237114906311
"gamma4_1",-0.434592545032501
"gamma4_2",-0.0279746036976576
"logit_tP_SB",-1.42494523525238
