"Parameter","Value"
"B11_1",-0.0166404955089092
"B11_2",-0.0798604190349579
"log_B12_delta_1",-1.2270587682724
"log_B12_delta_2",-0.483024209737778
"B21d_1",0.20427031815052
"B21d_2",0.257901459932327
"B22d_1",0.580895185470581
"B22d_2",0.534470677375793
"B31_1",-0.0717740282416344
"B31_2",-0.709988057613373
"B32_1",-0.432026654481888
"B32_2",-0.440541714429855
"Lmd1f1",1.10797047615051
"Lmd1f2",0.72603452205658
"Lmd1f3",1.05553150177002
"Lmd1f4",1.31012368202209
"Lmd2f_1",6.19725513458252
"Lmd2f_2",3.96438932418823
"log_Qd_1",-1.41661155223846
"log_Qd_2",-1.47164118289948
"log_R1d_1",-1.19876301288605
"log_R1d_2",-0.904535591602325
"log_R1d_3",-0.546046376228333
"log_R1d_4",-1.24669456481934
"log_R1d_5",-1.50592923164368
"log_R1d_6",-0.776484429836273
"log_R2d_1",1.4167445898056
"log_R2d_2",-0.581037044525146
"log_R2d_3",2.57432317733765
"gamma1",3.86340618133545
"gamma2_1",-1.7971955537796
"gamma2_2",-2.36214876174927
"gamma3",-1.95156049728394
"gamma4_1",-0.480491310358047
"gamma4_2",2.37955212593079
"logit_tP_SB",-3.14502596855164
