"Parameter","Value"
"B11_1",-0.0580432415008545
"B11_2",-0.0344230718910694
"log_B12_delta_1",-0.747489035129547
"log_B12_delta_2",-0.407407850027084
"B21d_1",0.281657516956329
"B21d_2",0.260739088058472
"B22d_1",0.471129149198532
"B22d_2",0.419628709554672
"B31_1",-0.0328994616866112
"B31_2",-0.387035667896271
"B32_1",-0.0261476449668407
"B32_2",-0.429581373929977
"Lmd1f1",0.95733380317688
"Lmd1f2",0.905157923698425
"Lmd1f3",1.11064040660858
"Lmd1f4",1.56802046298981
"Lmd2f_1",3.15785312652588
"Lmd2f_2",-3.30620837211609
"log_Qd_1",-1.72597694396973
"log_Qd_2",-1.53339684009552
"log_R1d_1",-1.20305132865906
"log_R1d_2",-0.721790790557861
"log_R1d_3",-0.63951700925827
"log_R1d_4",-1.18590188026428
"log_R1d_5",-1.37117075920105
"log_R1d_6",-0.866116285324097
"log_R2d_1",2.29610776901245
"log_R2d_2",-0.817136943340302
"log_R2d_3",0.0267632342875004
"gamma1",3.97052097320557
"gamma2_1",-0.493212282657623
"gamma2_2",-3.03370499610901
"gamma3",2.13348984718323
"gamma4_1",1.17615258693695
"gamma4_2",-1.20158243179321
"logit_tP_SB",-2.95839643478394
