"Parameter","Value"
"B11_1",-0.0304293930530548
"B11_2",-0.0158792529255152
"log_B12_delta_1",-0.883375287055969
"log_B12_delta_2",-1.2578831911087
"B21d_1",0.271346002817154
"B21d_2",0.219084933400154
"B22d_1",0.197448283433914
"B22d_2",0.74384480714798
"B31_1",-0.0780548676848412
"B31_2",0.251731395721436
"B32_1",0.510792016983032
"B32_2",0.224549472332001
"Lmd1f1",0.939733505249023
"Lmd1f2",0.722560048103333
"Lmd1f3",1.07927668094635
"Lmd1f4",1.39946901798248
"Lmd2f_1",-1.1043336391449
"Lmd2f_2",1.56268620491028
"log_Qd_1",-1.55853247642517
"log_Qd_2",-1.40783381462097
"log_R1d_1",-1.2203164100647
"log_R1d_2",-0.845171809196472
"log_R1d_3",-0.518344819545746
"log_R1d_4",-1.36138129234314
"log_R1d_5",-1.36318564414978
"log_R1d_6",-0.833591043949127
"log_R2d_1",-0.0575991049408913
"log_R2d_2",0.345872640609741
"log_R2d_3",1.60656702518463
"gamma1",3.60720634460449
"gamma2_1",0.637642204761505
"gamma2_2",-0.284658372402191
"gamma3",0.882930040359497
"gamma4_1",-2.93281435966492
"gamma4_2",-1.34605801105499
"logit_tP_SB",0.992043018341064
